SEMESTER,AINE_VK,AINE_INST,AINEKOOD,AINE,arvestatud,mittearvestatud,hinne_A,hinne_B,hinne_C,hinne_D,hinne_E,hinne_F,mitteilmunud
S,HV,HVAJ,HVAJ.06.010,Rahvusvaheliste suhete probleeme 20. sajandil,0,0,0,3,6,1,0,2,0
S,HV,HVAJ,HVAJ.06.012,III Reich ja Teine maailmasõda,0,0,1,4,2,2,0,1,6
S,HV,HVAJ,HVAJ.06.013,Külm sõda,0,0,2,0,1,0,0,0,3
S,HV,HVAJ,HVAJ.07.003,Abielu ja seksuaalsus varauusaegses Euroopas,0,0,7,7,5,1,0,0,5
S,HV,HVAJ,HVAJ.07.004,Impeeriumi sünd: Venemaa ajalugu Peeter I-st kuni Katariina II-ni,0,0,10,4,6,0,1,0,5
S,HV,HVAJ,HVAJ.07.005,Majanduspoliitika alused 1500-1850,0,0,5,5,2,3,0,0,8
S,HV,HVAJ,HVAJ.07.011,Keskaja õigusajalugu,0,0,3,0,0,0,0,2,1
S,HV,HVAJ,HVAJ.07.012,Vanaaeg,0,0,3,2,4,4,1,0,4
S,HV,HVAJ,HVAJ.07.014,Keskaeg,0,0,9,10,9,6,4,20,3
S,HV,HVAJ,HVAJ.07.015,Keskaja lektüürikursus,16,4,0,0,0,0,0,0,3
S,HV,HVEE,FLEE.00.024,Doktoritöö,9,0,0,0,0,0,0,0,0
S,HV,HVEE,FLEE.00.028,Magistritöö,5,0,0,0,0,0,0,0,0
S,HV,HVEE,FLEE.00.032,Sissejuhatus soome-ugri keelte ja eesti keele uurimisse,0,0,19,7,10,2,1,1,4
S,HV,HVEE,FLEE.00.044,Doktoriseminar,9,0,0,0,0,0,0,0,0
S,HV,HVEE,FLEE.00.046,Ülikoolis õpetamise praktika,16,0,0,0,0,0,0,0,0
S,HV,HVEE,FLEE.00.050,Magistriseminar,9,3,0,0,0,0,0,0,0
S,HV,HVEE,FLEE.00.052,Keeleteaduslik magistriseminar,23,0,0,0,0,0,0,0,0
S,HV,HVEE,FLEE.02.019,Eesti keel ja stilistika,0,0,12,11,19,5,4,0,2
S,HV,HVEE,FLEE.02.042,Eesti õigekeelsus ja väljendusõpetus,252,5,0,0,0,0,0,0,9
S,HV,HVEE,FLEE.02.099,Erikursus eesti keele grammatikast,10,0,0,0,0,0,0,0,0
S,HV,HVEE,FLEE.02.122,Eesti keele struktuur,0,0,7,7,3,3,1,0,2
S,HV,HVEE,FLEE.02.159,Stilistika,0,0,4,6,5,0,0,0,1
S,HV,HVEE,FLEE.02.166,Erikursus eesti keele didaktikast,18,0,0,0,0,0,0,0,0
S,HV,HVEE,FLEE.02.169,Eesti keele ja kirjanduse õpetaja põhipraktika,0,0,2,3,0,0,0,0,0
S,HV,HVEE,FLEE.02.170,Eesti keele ja kirjanduse õpetaja pidev praktika,10,0,0,0,0,0,0,0,0
S,HV,HVEE,FLEE.02.183,Eesti keele vormiõpetus,0,0,9,9,7,4,0,0,0
S,HV,HVEE,FLEE.02.186,Eesti keele korraldamine ja seisund,18,2,0,0,0,0,0,0,0
S,HV,HVEE,FLEE.04.020,Eesti ajalugu ja maatundmine,0,0,0,1,4,2,2,0,0
S,HV,HVEE,FLEE.04.126,Eesti keel edasijõudnutele I (C1.1),0,0,4,5,3,2,1,0,1
S,HV,HVEE,FLEE.04.190,Eesti keele sõnamoodustuse küsimusi,5,0,0,0,0,0,0,0,0
S,HV,HVEE,FLEE.04.191,Eesti keele vormiõpetuse küsimusi,6,0,0,0,0,0,0,0,0
S,HV,HVEE,FLEE.04.210,Akadeemiline eesti keel muukeelsetele I,11,0,0,0,0,0,0,0,0
S,HV,HVEE,FLEE.04.220,Eesti keele võõrkeelena grammatika erikursus,0,0,10,2,3,1,0,0,0
S,HV,HVEE,FLEE.04.221,Eesti keele võõrkeelena õpetaja põhipraktika,4,0,2,0,0,0,0,0,0
S,HV,HVEE,FLEE.04.223,Eesti keel mitmekeelses Läänemere-Euroopas: keelekontaktid ja -maastikud,0,0,15,12,7,2,2,0,0
S,HV,HVEE,FLEE.04.230,Kontrastiivne grammatika,0,0,5,2,0,0,0,0,0
S,HV,HVEE,FLEE.04.233,Keele ja ühiskonna empiirilise uurimise meetodid,0,0,2,2,1,0,0,0,0
S,HV,HVEE,FLEE.04.236,Eesti keele võõrkeelena didaktika II,11,0,0,0,0,0,0,0,0
S,HV,HVEE,FLEE.06.003,"Soome keel, tase 0 > B1",24,4,0,0,0,0,0,0,3
S,HV,HVEE,FLEE.06.008,Soome maa ja ajalugu,0,0,0,4,0,1,2,0,1
S,HV,HVEE,FLEE.06.010,Soome keele suuline ja kirjalik väljendusoskus I (B1/B2),12,0,0,0,0,0,0,0,0
S,HV,HVEE,FLEE.06.092,Soome keele suuline ja kirjalik väljendusoskus II (B2/C1),6,0,0,0,0,0,0,0,0
S,HV,HVEE,FLEE.06.100,Soome keele ja kultuuri aktuaalsed küsimused,6,0,0,0,0,0,0,0,1
S,HV,HVEE,FLEE.06.166,Soome kirjandus I,5,0,0,0,0,0,0,0,0
S,HV,HVEE,FLEE.06.167,Sissejuhatus soome keele uurimisse,0,0,3,0,0,3,0,0,0
S,HV,HVEE,FLEE.06.179,Ungari keele kursus algajatele inglise keele baasil,0,0,2,3,0,0,0,0,0
S,HV,HVEE,FLEE.06.194,Soome keel lingvistidele,0,0,1,4,5,6,2,1,3
S,HV,HVEE,FLEE.07.182,Kaugemad sugulaskeeled I,6,0,0,0,0,0,0,0,0
S,HV,HVEE,FLEE.07.192,Komi keel I,0,0,5,0,0,0,0,0,0
S,HV,HVEE,FLEE.07.194,Ungari keele vestluskursus,6,0,0,0,0,0,0,0,0
S,HV,HVEE,FLEE.08.001,Sissejuhatus üldkeeleteadusesse,0,0,15,64,39,37,21,15,19
S,HV,HVEE,FLEE.08.053,Keeleteaduse alused,0,0,8,15,16,9,2,5,6
S,HV,HVEE,FLEE.08.056,Suuline kõne,0,0,4,1,2,1,0,0,0
S,HV,HVEE,FLEE.08.103,Eesti keele digitaalsed ressursid ja tööriistad,20,4,0,0,0,0,0,0,0
S,HV,HVEE,FLEE.08.108,Suhtluslingvistika,0,0,5,4,2,0,0,0,0
S,HV,HVEE,FLEE.08.116,Keeletüpoloogia,0,0,8,4,8,2,0,0,0
S,HV,HVEE,FLEE.09.010,Eesti keele ajalugu,0,0,9,8,8,1,1,0,1
S,HV,HVEE,FLEE.09.017,Eesti foneetika ja fonoloogia,0,0,32,19,21,9,0,1,2
S,HV,HVEE,FLEE.09.027,Ajalooline lingvistika,0,0,1,2,11,5,0,0,2
S,HV,HVEE,FLEE.09.028,Erikursus foneetikast ja fonoloogiast,5,0,0,0,0,0,0,0,0
S,HV,HVEE,FLLE.00.007,Lõunaeesti keel I,11,0,0,0,0,0,0,0,0
S,HV,HVEE,FLLE.00.008,Lõunaeesti kultuurilugu,8,0,0,0,0,0,0,0,0
S,HV,HVEE,FLLE.00.021,"Seto elulaad, elatusalad ja pärimuskultuur",14,0,0,0,0,0,0,0,1
S,HV,HVEE,HVEE.00.006,Bakalaureuseseminar,16,2,0,0,0,0,0,0,0
S,HV,HVEE,HVEE.00.008,Doktoriseminar,7,0,0,0,0,0,0,0,0
S,HV,HVEE,HVEE.01.004,Akadeemiline eesti keel,0,0,67,66,26,17,6,10,12
S,HV,HVEE,HVEE.01.010,Lugemisseminar,22,1,0,0,0,0,0,0,3
S,HV,HVEE,HVEE.01.011,Kirjutamisseminar,16,0,0,0,0,0,0,0,4
S,HV,HVEE,HVEE.01.013,Eesti keel tüpoloogilisel taustal,0,0,5,1,1,0,0,0,1
S,HV,HVEE,HVEE.02.005,Akadeemiline eesti keel võõrkeelena,0,0,12,3,7,1,0,0,2
S,HV,HVEE,HVEE.03.006,"Soome keel algajaile, tase 0>B1",58,3,0,0,0,0,0,0,2
S,HV,HVEE,HVEE.03.011,"Ungari keele algkursus I, tase 0 > A1.1",0,0,5,0,0,0,0,0,1
S,HV,HVEE,HVEE.04.004,Eesti keele töötlus Pythonis,0,0,7,0,1,0,0,0,3
S,HV,HVEE,HVEE.04.005,Psühholingvistilised lähenemised kakskeelsusele,0,0,5,6,3,0,0,0,1
S,HV,HVEE,HVEE.04.006,Sissejuhatus R-i ja andmestruktuuridesse,0,0,4,5,1,0,0,0,1
S,HV,HVEE,HVEE.04.013,Keele dokumenteerimine,13,0,0,0,0,0,0,0,0
S,HV,HVEE,HVEE.04.016,Makroskoopilised meetodid kultuuri analüüsis,17,0,0,0,0,0,0,0,1
S,HV,HVEE,HVEE.05.023,Eesti keele ja kirjanduse didaktika alused,0,0,7,4,2,2,0,1,0
S,HV,HVEE,HVEE.05.025,Eesti keele kursus C1-tasemele,0,0,3,2,0,0,0,0,0
S,HV,HVFI,FLFI.00.001,Sissejuhatus filosoofiasse,30,0,0,0,0,0,0,0,6
S,HV,HVFI,FLFI.00.002,Sissejuhatus filosoofiasse,0,0,4,5,9,7,2,0,1
S,HV,HVFI,FLFI.00.016,Doktoriseminar,9,0,0,0,0,0,0,0,0
S,HV,HVFI,FLFI.00.055,Filosoofiline kirjutamine,5,0,0,0,0,0,0,0,0
S,HV,HVFI,FLFI.00.071,Magistritöö,7,0,0,0,0,0,0,0,0
S,HV,HVFI,FLFI.00.078,Bakalaureusetöö,5,0,0,0,0,0,0,0,0
S,HV,HVFI,FLFI.00.097,Praktika,6,0,0,0,0,0,0,0,0
S,HV,HVFI,FLFI.00.098,Magistriseminar,20,0,0,0,0,0,0,0,0
S,HV,HVFI,FLFI.00.102,Kriitiline mõtlemine ja argumenteerimine,0,0,22,28,16,23,13,18,6
S,HV,HVFI,FLFI.00.106,Sissejuhatus filosoofiaõpingutesse,17,2,0,0,0,0,0,0,1
S,HV,HVFI,FLFI.00.108,Arenguseminar,8,0,0,0,0,0,0,0,1
S,HV,HVFI,FLFI.00.113,Sissejuhatus filosoofiasse,0,0,4,5,5,0,0,0,2
S,HV,HVFI,FLFI.00.116,Uurijaseminar,18,0,0,0,0,0,0,0,0
S,HV,HVFI,FLFI.01.104,Filosoofia ajalugu II,0,0,4,0,5,3,0,0,1
S,HV,HVFI,FLFI.01.111,Sissejuhatus filosoofia ajalukku,0,0,3,0,1,1,0,0,1
S,HV,HVFI,FLFI.02.003,Eetika alused,0,0,7,14,18,10,5,2,1
S,HV,HVFI,FLFI.02.097,Pedagoogiline eetika,21,1,0,0,0,0,0,0,1
S,HV,HVFI,FLFI.02.148,Eetika peateemad,0,0,8,4,7,2,0,4,0
S,HV,HVFI,FLFI.02.153,Moraalifilosoofia klassikat,0,0,4,2,2,0,0,0,1
S,HV,HVFI,FLFI.02.168,Praktiline eetika,0,0,3,4,1,0,0,3,0
S,HV,HVFI,FLFI.02.169,Modernsus ja selle ebakohti,0,0,13,3,1,0,0,1,0
S,HV,HVFI,FLFI.03.007,Teadusfilosoofia ja -metodoloogia,0,0,6,2,4,0,1,0,0
S,HV,HVFI,FLFI.03.097,Teadusfilosoofia,0,0,5,4,3,0,1,0,2
S,HV,HVFI,FLFI.04.046,Spetsialiseerumisaine teoreetilisest filosoofiast III,0,0,5,0,0,0,0,0,0
S,HV,HVFI,FLFI.04.054,Formaalne semantika,7,0,0,0,0,0,0,0,0
S,HV,HVFI,FLFI.04.060,Vaimufilosoofia,0,0,14,2,2,1,1,0,4
S,HV,HVFI,FLFI.04.077,Formaalse semantika jätkukursus,4,0,0,0,0,0,0,0,1
S,HV,HVFI,FLFI.04.080,Kunstifilosoofia,0,0,7,2,1,0,0,0,0
S,HV,HVFI,FLFI.04.081,Paradoksid filosoofias,1,0,2,2,1,0,0,0,0
S,HV,HVFI,FLFI.04.082,Spetsialiseerumisaine teoreetilisest filosoofiast I,0,0,7,1,0,0,0,0,0
S,HV,HVFI,FLFI.05.006,Sissejuhatus eesti kultuuri,0,0,10,3,2,0,0,0,0
S,HV,HVFI,FLFI.05.014,"Filosoofia, genealoogia, ajalugu",0,0,4,2,0,0,0,0,0
S,HV,HVFI,FLFI.05.023,Rahvusvahelise poliitilise mõtte ajalugu,0,0,2,4,0,2,0,0,0
S,HV,HVFI,FLFI.05.027,Euroopa religioosse mõtte lugu,0,0,3,0,0,0,0,0,3
S,HV,HVFI,FLFI.05.028,Migratsioon ja külalislahkus,0,0,6,0,0,0,0,0,0
S,HV,HVFI,FLSE.00.054,Keelesemiootika,0,0,13,2,0,0,0,0,1
S,HV,HVFI,FLSE.00.058,Biosemiootika ja elussüsteemide teooria,0,0,5,5,0,0,0,0,4
S,HV,HVFI,FLSE.00.068,Sotsiosemiootika,0,0,3,9,5,0,0,0,0
S,HV,HVFI,FLSE.00.069,Ökosemiootika,0,0,4,7,1,0,1,0,1
S,HV,HVFI,FLSE.00.137,Sissejuhatus semiootikasse,0,0,10,13,5,0,0,0,0
S,HV,HVFI,FLSE.00.138,Sissejuhatus kultuuriteooriatesse,0,0,5,8,1,5,5,1,2
S,HV,HVFI,FLSE.00.150,Uurijaseminar,10,0,0,0,0,0,0,0,1
S,HV,HVFI,FLSE.00.204,Doktoriseminar,0,0,0,0,0,0,0,0,0
S,HV,HVFI,FLSE.00.216,Semiootika alused,45,1,0,0,0,0,0,0,9
S,HV,HVFI,FLSE.00.220,Doktoritöö,5,0,0,0,0,0,0,0,0
S,HV,HVFI,FLSE.00.225,Sissejuhatus semiootika uurimismeetodeisse,0,0,4,5,0,0,0,0,3
S,HV,HVFI,FLSE.00.226,Ühiskonnateooriad ja semiootika,0,0,6,2,6,0,2,0,1
S,HV,HVFI,FLSE.00.249,Semiootika ajalugu: põhimõisted ja -tekstid,0,0,14,5,0,0,0,0,0
S,HV,HVFI,FLSE.00.251,J. v. Uexkülli ja J. Lotmani lugemised,0,0,15,9,2,1,1,0,3
S,HV,HVFI,FLSE.00.252,Semiootilise analüüsi metodoloogia,0,0,4,8,3,0,0,0,1
S,HV,HVFI,FLSE.00.253,Magistriseminar,29,1,0,0,0,0,0,0,0
S,HV,HVFI,FLSE.00.254,Kultuurisemiootika ja kultuuriteooriad,0,0,13,6,6,0,0,0,4
S,HV,HVFI,FLSE.00.258,Biosemiootika,0,0,7,6,1,0,0,0,1
S,HV,HVFI,FLSE.00.273,Multimeedia ja kunsti semiootiline analüüs,0,0,7,5,4,1,0,0,3
S,HV,HVFI,FLSE.00.274,Tõlkesemiootika,0,0,12,2,0,0,0,0,3
S,HV,HVFI,FLSE.00.276,Kommunikatsioon ja võim,0,0,17,8,1,1,0,0,3
S,HV,HVFI,FLSE.00.277,Subkultuuride semiootiline analüüs,0,0,7,5,2,3,1,0,0
S,HV,HVFI,FLSE.00.280,Bakalaureuseseminar,7,0,0,0,0,0,0,0,1
S,HV,HVFI,FLSE.00.287,Biosemiootika aktuaalsed probleemid,0,0,7,1,0,0,0,0,1
S,HV,HVFI,FLSE.00.288,Keskkonna semiootiline analüüs,0,0,3,3,0,0,0,0,0
S,HV,HVFI,FLSE.00.294,Semiootika erikursus,0,0,2,4,2,0,0,0,1
S,HV,HVFI,FLSE.00.300,Semiootika ja kultuuriteooria distsiplinaarne seminar,11,0,0,0,0,0,0,0,0
S,HV,HVFI,FLSE.00.312,Semiootika ja kultuurikriitika,17,0,0,0,0,0,0,0,2
S,HV,HVFI,FLSE.00.320,Lev Võgotski ja märgid õppeprotsessis,11,0,0,0,0,0,0,0,1
S,HV,HVFI,HVFI.01.002,"Hea teadus: raamnõuded, väärtused ja tegevuspõhimõtted",0,0,13,3,2,0,0,0,2
S,HV,HVFI,HVFI.01.003,Filosoofilised lahkarvamused,59,5,0,0,0,0,0,0,0
S,HV,HVHV,FLFL.00.007,Tekst ja diskursus,29,0,0,0,0,0,0,0,0
S,HV,HVHV,FLFL.00.014,Pedagoogiline praktikum II,37,0,0,0,0,0,0,0,0
S,HV,HVHV,HVHV.00.002,Sissejuhatus digihumanitaariasse,26,0,0,0,0,0,0,0,0
S,HV,HVHV,HVHV.00.012,Kaasaegse ökokriitika tekstiseminar,14,0,0,0,0,0,0,0,0
S,HV,HVHV,HVHV.00.013,Sissejuhatus doktoriõpingutesse humanitaarteadustes,41,0,0,0,0,0,0,0,1
S,HV,HVHV,HVHV.00.016,Ettevõtluspädevused humanitaarteadustes,58,0,0,0,0,0,0,0,0
S,HV,HVHV,HVHV.00.017,Õpingud humanitaarteaduste ja kunstide valdkonnas,171,65,0,0,0,0,0,0,0
S,HV,HVHV,HVHV.00.018,ÕKMA talvekool 2020: koostöö,19,0,0,0,0,0,0,0,0
S,HV,HVHV,OIAO.06.050,Infopädevuse alused,306,9,0,0,0,0,0,0,3
S,HV,HVKU,FLKU.03.006,Etnoloogia ja folkloristika magistriseminar,5,2,0,0,0,0,0,0,0
S,HV,HVKU,FLKU.03.008,Etnoloogia ja folkloristika doktoriseminar,11,0,0,0,0,0,0,0,0
S,HV,HVKU,FLKU.03.009,Kolmas sektor ja kultuurikorraldus,0,0,9,15,1,0,0,0,0
S,HV,HVKU,FLKU.03.010,Etnoloogia ja kultuuriantropoloogia alused,50,1,0,0,0,0,0,0,4
S,HV,HVKU,FLKU.03.020,Soome-ugri kultuurid,0,0,6,4,4,1,0,0,7
S,HV,HVKU,FLKU.03.040,Näitused ja interpretatsioon,46,0,0,0,0,0,0,0,2
S,HV,HVKU,FLKU.03.067,Visuaalsed meetodid etnoloogias,0,0,5,2,0,0,0,0,1
S,HV,HVKU,FLKU.03.076,Kultuuripoliitika Eestis,24,0,0,0,0,0,0,0,1
S,HV,HVKU,FLKU.03.087,Tekstuaalsed representatsioonid etnoloogias,7,0,0,0,0,0,0,0,1
S,HV,HVKU,FLKU.03.095,Religiooniantropoloogia metodoloogia,16,0,0,0,0,0,0,0,0
S,HV,HVKU,FLKU.04.074,Folkloristika alused,0,0,28,11,8,1,0,1,3
S,HV,HVKU,FLKU.04.097,Rahvusvaheline folkloristika,0,0,13,6,1,0,0,0,1
S,HV,HVKU,FLKU.04.125,Müüt ja mütoloogia,0,0,19,26,22,10,2,5,2
S,HV,HVKU,FLKU.04.134,Pärimusliku ajaloo meetodid,0,0,3,0,0,0,1,0,1
S,HV,HVKU,FLKU.04.135,"Eesti rahvalaul: allikad, teooriad ja liigitus",0,0,1,1,1,1,0,0,1
S,HV,HVKU,FLKU.04.139,Teksti- ja kontekstikesksed uurimismeetodid folkloristikas,0,0,5,2,1,0,0,0,0
S,HV,HVKU,FLKU.05.014,Doktoritöö,10,0,0,0,0,0,0,0,0
S,HV,HVKU,FLKU.05.017,Tekstianalüüsi kaasaegsed meetodid,0,0,6,0,0,0,0,0,0
S,HV,HVKU,FLKU.05.021,Kirjanduse ja teatriteaduse doktoriseminar,5,0,0,0,0,0,0,0,0
S,HV,HVKU,FLKU.05.023,Ameerika ja Euroopa kirjandussuhted 19.-20. sajandil,0,0,3,1,0,0,0,0,1
S,HV,HVKU,FLKU.05.025,Ilukirjanduse tõlkimise praktikum,0,0,4,3,3,0,0,0,2
S,HV,HVKU,FLKU.05.053,Sissejuhatus võrdlevasse kirjandusteadusesse,0,0,7,0,0,0,0,0,0
S,HV,HVKU,FLKU.05.063,Sissejuhatus kirjandusteadusesse,0,0,64,47,42,16,1,1,15
S,HV,HVKU,FLKU.05.076,Baltisaksa kirjandus eesti kirjandusloo taustal,0,0,14,8,10,2,0,0,5
S,HV,HVKU,FLKU.05.091,Eesti kirjanduse ajalugu II,33,0,0,0,0,0,0,0,3
S,HV,HVKU,FLKU.05.094,Kirjanduse seminar,9,0,0,0,0,0,0,0,3
S,HV,HVKU,FLKU.05.095,Laste- ja noortekirjandus,0,0,7,9,7,1,2,0,1
S,HV,HVKU,FLKU.05.107,Luule- ja proosateksti analüüs,0,0,4,5,11,0,0,0,6
S,HV,HVKU,FLKU.05.144,Etenduse analüüsi praktikum,0,0,9,4,5,2,0,0,6
S,HV,HVKU,FLKU.05.148,Eesti teatri ajalugu,1,0,9,7,12,4,2,3,5
S,HV,HVKU,FLKU.05.149,Teatriteaduse seminar,11,0,0,0,0,0,0,0,2
S,HV,HVKU,FLKU.05.150,Üldine teatriajalugu I. Antiigist romantismini,0,0,6,5,0,0,1,0,2
S,HV,HVKU,FLKU.05.156,Kirjandusteooria,0,0,2,4,2,0,0,0,2
S,HV,HVKU,FLKU.05.163,Lavalise liikumise ja lavakõne alused I,5,0,0,0,0,0,0,0,0
S,HV,HVKU,FLKU.05.179,Lääne romaani poeetika,0,0,8,0,0,0,0,0,1
S,HV,HVKU,FLKU.05.199,Euroopa kirjandus valgustusajastul,0,0,8,0,0,0,0,0,1
S,HV,HVKU,FLKU.05.220,Magistritöö,6,0,0,0,0,0,0,0,0
S,HV,HVKU,FLKU.05.228,Eesti kirjanduse tüvitekstid,0,0,8,2,1,2,0,0,1
S,HV,HVKU,FLKU.05.234,Keskaja ja varauusaegse kirjanduse seminar,0,0,3,0,2,0,0,0,0
S,HV,HVKU,FLKU.05.237,Maailmakirjandus III. Valgustus. Romantism. Realism,0,0,26,3,1,0,0,0,2
