SEMESTER,AINE_VK,AINE_INST,AINEKOOD,AINE,vaartus_0,vaartus_1,vaartus_2,vaartus_3,vaartus_4,toomaht_0,toomaht_1,toomaht_2,toomaht_3,hinne_A,hinne_B,hinne_C,hinne_D,hinne_E,hinne_F,arvestatud,mittearvestatud,mitteilmunud
S,HV,HVAJ,FLAJ.03.167,Eesti uusima aja ajalugu,,,1,9,26,,5,29,2,4,8,9,6,4,,,,5
S,HV,HVAJ,FLAJ.03.180,Eesti varauusaja ajalugu 1550-1710,,,1,11,12,1,1,22,,7,3,4,6,,,,,4
S,HV,HVAJ,FLAJ.03.192,Eriteenistuste ajalugu 20. sajandil,,,,2,6,,,8,,,,,,,,7,1,
S,HV,HVAJ,FLAJ.05.136,Eesti arhitektuur ja kunst keskajal,,,1,2,8,,,11,,6,2,3,,,,,,
S,HV,HVAJ,FLAJ.05.137,Eesti kunst renessansist barokini,1,1,,3,5,1,2,6,1,4,3,2,,,,,,
S,HV,HVAJ,FLAJ.05.139,Ikonograafia,,,,1,6,,,7,,4,3,,,,,,,
S,HV,HVAJ,FLAJ.05.143,Kaasaegne kunstiteoreetiline mõte,,1,,2,2,,1,4,,,,,,,,5,,
S,HV,HVAJ,FLAJ.05.163,Pildi ees ja pildi sees. Eesti kunstiajaloo lähilugemine,,,,,6,,,6,,,,,,,,6,,
S,HV,HVAJ,FLAJ.06.120,Diplomaatia põhimõisted ja ajalugu,,,3,2,7,,,10,2,3,3,2,3,,1,,,
S,HV,HVAJ,FLAJ.06.137,III Reich ja Teine maailmasõda,1,2,,1,4,1,,7,,,2,,1,,1,,,4
S,HV,HVAJ,FLAJ.06.152,Ajaloo imagoloogia,,,,2,6,,1,7,,4,2,,,,,,,2
S,HV,HVAJ,FLAJ.07.002,Vanaaeg,,,,3,12,,2,13,,4,1,6,2,,1,,,1
S,HV,HVAJ,FLAJ.07.091,Tänapäevase ajalookirjutuse kujunemine,,,1,,7,,1,7,,4,4,,,,,,,
S,HV,HVAJ,FLAJ.07.198,Euroopa ideede ajalugu,1,,2,11,32,,5,41,,9,8,9,4,6,3,,,7
S,HV,HVAJ,FLAJ.07.206,Kreeka religioon ja mütoloogia,,1,,1,13,,1,13,1,2,1,5,5,,,,,2
S,HV,HVAJ,HVAJ.00.008,Sissejuhatus ajalookirjutusse,,,3,4,10,,1,14,2,,,,,,,15,2,
S,HV,HVAJ,HVAJ.02.001,Museoloogia,,1,2,3,11,,1,16,,16,1,,,,,,,
S,HV,HVAJ,HVAJ.03.004,Sissejuhatus Eesti ajalukku,2,,1,1,9,1,1,8,3,1,4,6,,,,,,2
S,HV,HVAJ,HVAJ.05.001,20. sajandi kunsti ajalugu I,,,,1,8,,2,7,,1,3,2,1,1,,,,1
S,HV,HVAJ,HVAJ.05.003,Üldine kunstiajalugu: antiikkunst,,,,2,4,,1,5,,5,,1,,,,,,
S,HV,HVAJ,HVAJ.05.017,Kureerimise alused,,,,,8,,,8,,,,,,,,8,,
S,HV,HVAJ,HVAJ.06.002,Filmiinterpretatsioon ajaloolastele,,,1,2,7,1,1,8,,,2,5,2,,,,,1
S,HV,HVAJ,HVAJ.06.010,Rahvusvaheliste suhete probleeme 20. sajandil,,,,1,5,,,6,,,2,4,,,,,,
S,HV,HVAJ,HVAJ.06.012,III Reich ja Teine maailmasõda,,1,1,1,3,1,,5,,,2,1,,,1,,,2
S,HV,HVAJ,HVAJ.07.003,Abielu ja seksuaalsus varauusaegses Euroopas,,,,3,13,,,16,,6,5,3,1,,,,,1
S,HV,HVAJ,HVAJ.07.004,Impeeriumi sünd: Venemaa ajalugu Peeter I-st kuni Katariina II-ni,,,,3,10,,,11,2,7,2,3,,,,,,1
S,HV,HVAJ,HVAJ.07.005,Majanduspoliitika alused 1500-1850,,,1,1,11,,2,11,,4,4,2,3,,,,,
S,HV,HVAJ,HVAJ.07.012,Vanaaeg,,,,4,7,,4,7,,2,,3,3,1,,,,2
S,HV,HVAJ,HVAJ.07.014,Keskaeg,2,2,2,6,20,2,21,9,,5,6,6,4,2,6,,,3
S,HV,HVAJ,HVAJ.07.015,Keskaja lektüürikursus,1,3,,2,5,1,5,5,,,,,,,,7,3,1
S,HV,HVEE,FLEE.00.032,Sissejuhatus soome-ugri keelte ja eesti keele uurimisse,,,1,4,10,,1,13,1,8,1,2,2,1,,,,1
S,HV,HVEE,FLEE.00.052,Keeleteaduslik magistriseminar,1,2,,3,3,2,,6,1,,,,,,,7,,
S,HV,HVEE,FLEE.02.019,Eesti keel ja stilistika,,,,6,34,,,40,,10,8,13,5,4,,,,
S,HV,HVEE,FLEE.02.042,Eesti õigekeelsus ja väljendusõpetus,,2,12,48,105,,7,157,3,,,,,,,166,1,
S,HV,HVEE,FLEE.02.099,Erikursus eesti keele grammatikast,,1,2,,2,1,1,3,,,,,,,,5,,
S,HV,HVEE,FLEE.02.122,Eesti keele struktuur,,,,,7,,,7,,3,1,1,2,,,,,
S,HV,HVEE,FLEE.02.159,Stilistika,,,,3,7,,1,9,,2,5,3,,,,,,
S,HV,HVEE,FLEE.02.166,Erikursus eesti keele didaktikast,,,1,,6,,1,6,,,,,,,,7,,
S,HV,HVEE,FLEE.02.183,Eesti keele vormiõpetus,,,1,1,15,,2,15,,5,6,3,3,,,,,
S,HV,HVEE,FLEE.02.186,Eesti keele korraldamine ja seisund,,1,1,5,2,1,,7,1,,,,,,,8,1,
S,HV,HVEE,FLEE.04.020,Eesti ajalugu ja maatundmine,,,1,2,4,,2,4,1,,1,4,,2,,,,
S,HV,HVEE,FLEE.04.126,Eesti keel edasijõudnutele I (C1.1),,,1,1,6,,,8,,2,4,,2,,,,,
S,HV,HVEE,FLEE.04.220,Eesti keele võõrkeelena grammatika erikursus,,,,1,12,,2,11,,9,1,2,1,,,,,
S,HV,HVEE,FLEE.04.223,Eesti keel mitmekeelses Läänemere-Euroopas: keelekontaktid ja -maastikud,,,4,2,6,,,12,,4,4,2,1,1,,,,
S,HV,HVEE,FLEE.06.003,"Soome keel, tase 0 > B1",,,,1,11,,1,10,1,,,,,,,11,,1
S,HV,HVEE,FLEE.06.010,Soome keele suuline ja kirjalik väljendusoskus I (B1/B2),,,,2,4,,,4,2,,,,,,,6,,
S,HV,HVEE,FLEE.06.100,Soome keele ja kultuuri aktuaalsed küsimused,,,,,6,,,6,,,,,,,,6,,
S,HV,HVEE,FLEE.06.194,Soome keel lingvistidele,,3,2,3,5,,10,3,,1,2,1,5,2,1,,,1
S,HV,HVEE,FLEE.07.182,Kaugemad sugulaskeeled I,,,,,6,,,6,,,,,,,,5,,
S,HV,HVEE,FLEE.08.001,Sissejuhatus üldkeeleteadusesse,,5,9,55,57,1,17,106,2,9,40,24,28,15,4,,,5
S,HV,HVEE,FLEE.08.053,Keeleteaduse alused,,1,4,4,12,,4,17,,4,9,4,1,2,1,,,
S,HV,HVEE,FLEE.08.103,Eesti keele digitaalsed ressursid ja tööriistad,,,1,5,6,,5,7,,,,,,,,11,1,
S,HV,HVEE,FLEE.08.108,Suhtluslingvistika,,,,1,7,1,,7,,3,3,2,,,,,,
S,HV,HVEE,FLEE.08.116,Keeletüpoloogia,,,,3,12,,,15,,6,2,7,,,,,,
S,HV,HVEE,FLEE.09.010,Eesti keele ajalugu,,1,,7,6,,2,12,,6,3,3,1,1,,,,
S,HV,HVEE,FLEE.09.017,Eesti foneetika ja fonoloogia,,,1,7,48,,8,48,,19,18,14,5,,,,,
S,HV,HVEE,FLEE.09.027,Ajalooline lingvistika,1,,1,1,10,1,6,6,,1,,6,4,,,,,2
S,HV,HVEE,FLLE.00.007,Lõunaeesti keel I,,,,,8,,,8,,,,,,,,8,,
S,HV,HVEE,FLLE.00.008,Lõunaeesti kultuurilugu,,,,1,6,,,7,,,,,,,,7,,
S,HV,HVEE,FLLE.00.021,"Seto elulaad, elatusalad ja pärimuskultuur",,,,1,8,,,9,,,,,,,,9,,
S,HV,HVEE,HVEE.00.006,Bakalaureuseseminar,,,1,,4,,,5,,,,,,,,5,,
S,HV,HVEE,HVEE.01.004,Akadeemiline eesti keel,,2,4,29,101,,7,128,1,47,49,21,9,4,3,,,3
S,HV,HVEE,HVEE.01.010,Lugemisseminar,,,,1,11,,,12,,,,,,,,12,,
S,HV,HVEE,HVEE.01.011,Kirjutamisseminar,,,,1,5,,,6,,,,,,,,6,,
S,HV,HVEE,HVEE.02.005,Akadeemiline eesti keel võõrkeelena,,,,,15,,1,14,,9,1,5,,,,,,
S,HV,HVEE,HVEE.03.006,"Soome keel algajaile, tase 0>B1",,,,1,30,,2,25,4,,,,,,,30,,1
S,HV,HVEE,HVEE.04.004,Eesti keele töötlus Pythonis,,,,,6,,1,5,,5,,1,,,,,,
S,HV,HVEE,HVEE.04.005,Psühholingvistilised lähenemised kakskeelsusele,,,,1,8,,2,7,,2,5,2,,,,,,
S,HV,HVEE,HVEE.04.013,Keele dokumenteerimine,,,,1,4,,,5,,,,,,,,5,,
S,HV,HVEE,HVEE.04.016,Makroskoopilised meetodid kultuuri analüüsis,,,,2,8,,,8,2,,,,,,,10,,
S,HV,HVEE,HVEE.05.023,Eesti keele ja kirjanduse didaktika alused,,,,2,6,,,8,,4,2,1,,,1,,,
S,HV,HVFI,FLFI.00.001,Sissejuhatus filosoofiasse,1,4,3,6,11,1,4,19,1,,,,,,,23,,2
S,HV,HVFI,FLFI.00.002,Sissejuhatus filosoofiasse,,4,3,7,1,,3,11,1,2,3,5,4,1,,,,
S,HV,HVFI,FLFI.00.016,Doktoriseminar,,,,1,6,,,7,,,,,,,,7,,
S,HV,HVFI,FLFI.00.098,Magistriseminar,,1,2,2,11,1,,13,2,,,,,,,16,,
S,HV,HVFI,FLFI.00.102,Kriitiline mõtlemine ja argumenteerimine,,2,4,19,48,,4,67,2,16,23,9,15,8,2,,,
S,HV,HVFI,FLFI.00.106,Sissejuhatus filosoofiaõpingutesse,,,1,1,5,,,6,1,,,,,,,6,1,
S,HV,HVFI,FLFI.00.113,Sissejuhatus filosoofiasse,,1,,,7,,,8,,2,2,4,,,,,,
S,HV,HVFI,FLFI.00.116,Uurijaseminar,,3,2,5,4,,,14,,,,,,,,14,,
S,HV,HVFI,FLFI.01.104,Filosoofia ajalugu II,,1,1,4,5,,4,6,1,3,,4,3,,,,,1
S,HV,HVFI,FLFI.02.003,Eetika alused,,2,8,16,13,,5,34,,3,9,13,10,2,1,,,1
S,HV,HVFI,FLFI.02.097,Pedagoogiline eetika,,1,3,5,4,,2,11,,,,,,,,12,1,
S,HV,HVFI,FLFI.02.148,Eetika peateemad,,,,3,13,,3,13,,4,3,4,2,,2,,,
S,HV,HVFI,FLFI.02.153,Moraalifilosoofia klassikat,,,,1,6,,,7,,3,2,1,,,,,,1
S,HV,HVFI,FLFI.02.168,Praktiline eetika,,,,3,5,,1,6,1,2,3,1,,,2,,,
S,HV,HVFI,FLFI.02.169,Modernsus ja selle ebakohti,,,,,12,,1,10,1,10,1,1,,,,,,
S,HV,HVFI,FLFI.03.007,Teadusfilosoofia ja -metodoloogia,,3,1,4,2,,2,8,,5,1,4,,,,,,
S,HV,HVFI,FLFI.03.097,Teadusfilosoofia,,1,,4,6,,2,8,1,3,3,2,,1,,,,2
S,HV,HVFI,FLFI.04.054,Formaalne semantika,,,,2,3,,3,2,,,,,,,,5,,
S,HV,HVFI,FLFI.04.060,Vaimufilosoofia,1,3,1,3,5,2,,10,1,7,2,1,1,,,,,2
S,HV,HVFI,FLFI.05.006,Sissejuhatus eesti kultuuri,1,1,1,3,1,,,3,4,5,1,1,,,,,,
S,HV,HVFI,FLFI.05.014,"Filosoofia, genealoogia, ajalugu",,,,,5,,,5,,3,2,,,,,,,
S,HV,HVFI,FLFI.05.023,Rahvusvahelise poliitilise mõtte ajalugu,,,,1,4,,1,4,,1,3,,,,,,,
S,HV,HVFI,FLSE.00.054,Keelesemiootika,,,,4,6,,,8,2,9,1,,,,,,,
S,HV,HVFI,FLSE.00.058,Biosemiootika ja elussüsteemide teooria,,,,1,5,,,6,,3,3,,,,,,,
S,HV,HVFI,FLSE.00.068,Sotsiosemiootika,,3,1,4,1,,,8,1,2,5,2,,,,,,
S,HV,HVFI,FLSE.00.069,Ökosemiootika,,,,2,6,,,8,,3,4,1,,,,,,
S,HV,HVFI,FLSE.00.137,Sissejuhatus semiootikasse,,,1,1,14,,,16,,5,8,3,,,,,,
S,HV,HVFI,FLSE.00.138,Sissejuhatus kultuuriteooriatesse,,,,2,15,,1,16,,4,5,1,4,3,,,,
S,HV,HVFI,FLSE.00.204,Doktoriseminar,1,1,,1,7,2,,7,1,,,,,,,,,
S,HV,HVFI,FLSE.00.216,Semiootika alused,,,2,5,7,,1,12,1,,,,,,,13,,1
S,HV,HVFI,FLSE.00.226,Ühiskonnateooriad ja semiootika,,,,,8,,,8,,3,1,2,,2,,,,
S,HV,HVFI,FLSE.00.249,Semiootika ajalugu: põhimõisted ja -tekstid,,1,1,2,4,,,6,2,6,2,,,,,,,
S,HV,HVFI,FLSE.00.251,J. v. Uexkülli ja J. Lotmani lugemised,,1,1,1,11,,1,11,2,5,5,2,1,1,,,,
S,HV,HVFI,FLSE.00.252,Semiootilise analüüsi metodoloogia,,,,4,5,,1,7,1,4,4,1,,,,,,
S,HV,HVFI,FLSE.00.253,Magistriseminar,,1,,3,15,1,,16,2,,,,,,,18,1,
S,HV,HVFI,FLSE.00.254,Kultuurisemiootika ja kultuuriteooriad,,,,2,10,,,12,,6,2,3,,,,,,1
S,HV,HVFI,FLSE.00.258,Biosemiootika,,,,3,6,,,7,2,5,3,1,,,,,,
S,HV,HVFI,FLSE.00.273,Multimeedia ja kunsti semiootiline analüüs,,,,1,9,,4,6,,3,4,2,,,,,,1
S,HV,HVFI,FLSE.00.274,Tõlkesemiootika,,,1,4,3,,,8,,8,,,,,,,,
S,HV,HVFI,FLSE.00.276,Kommunikatsioon ja võim,1,,,2,18,,1,20,,11,6,1,1,,,,,2
S,HV,HVFI,FLSE.00.277,Subkultuuride semiootiline analüüs,,2,3,4,4,1,1,10,1,4,3,2,3,1,,,,
S,HV,HVFI,FLSE.00.287,Biosemiootika aktuaalsed probleemid,,,,1,5,,,6,,6,,,,,,,,
S,HV,HVFI,FLSE.00.288,Keskkonna semiootiline analüüs,,,,,6,,,6,,3,3,,,,,,,
S,HV,HVFI,FLSE.00.300,Semiootika ja kultuuriteooria distsiplinaarne seminar,1,,,2,5,2,1,4,1,,,,,,,8,,
S,HV,HVFI,FLSE.00.312,Semiootika ja kultuurikriitika,,,,2,7,1,,5,3,,,,,,,8,,1
S,HV,HVFI,FLSE.00.320,Lev Võgotski ja märgid õppeprotsessis,,,,1,5,,,5,1,,,,,,,5,,1
S,HV,HVFI,HVFI.01.002,"Hea teadus: raamnõuded, väärtused ja tegevuspõhimõtted",1,,,3,11,1,,13,1,9,3,2,,,,,,1
S,HV,HVFI,HVFI.01.003,Filosoofilised lahkarvamused,1,2,2,11,19,,8,26,1,,,,,,,33,1,
S,HV,HVHV,FLFL.00.007,Tekst ja diskursus,,,1,3,14,,,18,,,,,,,,17,,
S,HV,HVHV,FLFL.00.014,Pedagoogiline praktikum II,,1,,3,21,1,,24,,,,,,,,25,,
S,HV,HVHV,HVHV.00.002,Sissejuhatus digihumanitaariasse,,,,2,11,,,13,,,,,,,,13,,
S,HV,HVHV,HVHV.00.012,Kaasaegse ökokriitika tekstiseminar,,,,2,8,,,10,,,,,,,,10,,
S,HV,HVHV,HVHV.00.013,Sissejuhatus doktoriõpingutesse humanitaarteadustes,,,1,7,18,1,,25,,,,,,,,26,,
S,HV,HVHV,HVHV.00.016,Ettevõtluspädevused humanitaarteadustes,,1,3,15,18,,3,34,,,,,,,,37,,
S,HV,HVHV,HVHV.00.017,Õpingud humanitaarteaduste ja kunstide valdkonnas,5,7,10,16,37,6,7,59,3,,,,,,,58,17,
S,HV,HVHV,OIAO.06.050,Infopädevuse alused,3,1,5,39,199,2,24,213,8,,,,,,,242,4,1
S,HV,HVKU,FLKU.03.008,Etnoloogia ja folkloristika doktoriseminar,,,,1,4,,,5,,,,,,,,5,,
S,HV,HVKU,FLKU.03.009,Kolmas sektor ja kultuurikorraldus,,3,5,4,1,1,1,11,,4,8,1,,,,,,
S,HV,HVKU,FLKU.03.010,Etnoloogia ja kultuuriantropoloogia alused,,1,2,5,13,,,16,5,,,,,,,20,,
S,HV,HVKU,FLKU.03.020,Soome-ugri kultuurid,,,,2,5,,,7,,5,,1,1,,,,,
S,HV,HVKU,FLKU.03.040,Näitused ja interpretatsioon,1,1,,6,12,1,,15,4,,,,,,,20,,
S,HV,HVKU,FLKU.03.076,Kultuuripoliitika Eestis,,,,5,13,,,18,,,,,,,,17,,1
S,HV,HVKU,FLKU.03.087,Tekstuaalsed representatsioonid etnoloogias,,,,3,2,,5,,,,,,,,,3,,1
S,HV,HVKU,FLKU.03.095,Religiooniantropoloogia metodoloogia,,,1,4,8,,,12,1,,,,,,,13,,
S,HV,HVKU,FLKU.04.074,Folkloristika alused,,,,6,28,,5,29,,20,10,4,,,,,,
S,HV,HVKU,FLKU.04.097,Rahvusvaheline folkloristika,,,1,3,11,,,15,,10,4,,,,,,,
S,HV,HVKU,FLKU.04.125,Müüt ja mütoloogia,,1,5,24,22,,5,46,1,11,19,12,6,1,1,,,
S,HV,HVKU,FLKU.04.139,Teksti- ja kontekstikesksed uurimismeetodid folkloristikas,,,,1,4,,,5,,2,2,1,,,,,,
S,HV,HVKU,FLKU.05.053,Sissejuhatus võrdlevasse kirjandusteadusesse,,,,,6,,1,5,,6,,,,,,,,
S,HV,HVKU,FLKU.05.063,Sissejuhatus kirjandusteadusesse,2,6,14,33,29,2,4,76,2,28,21,25,5,,1,,,2
S,HV,HVKU,FLKU.05.076,Baltisaksa kirjandus eesti kirjandusloo taustal,1,,7,4,8,1,1,18,,8,3,5,2,,,,,2
S,HV,HVKU,FLKU.05.091,Eesti kirjanduse ajalugu II,,,2,2,21,,3,22,,,,,,,,24,,1
S,HV,HVKU,FLKU.05.095,Laste- ja noortekirjandus,,,1,2,9,,7,5,,4,5,3,,,,,,
S,HV,HVKU,FLKU.05.107,Luule- ja proosateksti analüüs,,1,1,5,6,1,,11,1,2,4,6,,,,,,1
S,HV,HVKU,FLKU.05.144,Etenduse analüüsi praktikum,,1,2,1,11,,4,11,,7,1,5,1,,,,,1
S,HV,HVKU,FLKU.05.148,Eesti teatri ajalugu,,,1,3,28,1,1,30,,9,7,9,4,1,1,,,1
S,HV,HVKU,FLKU.05.150,Üldine teatriajalugu I. Antiigist romantismini,,,1,1,6,,5,3,,4,2,,,1,,,,1
S,HV,HVKU,FLKU.05.179,Lääne romaani poeetika,,,1,,5,,,5,1,6,,,,,,,,
S,HV,HVKU,FLKU.05.199,Euroopa kirjandus valgustusajastul,,,,2,5,,,6,1,6,,,,,,,,1
S,HV,HVKU,FLKU.05.228,Eesti kirjanduse tüvitekstid,,,,1,8,,,9,,4,2,1,,,,,,
S,HV,HVKU,FLKU.05.237,Maailmakirjandus III. Valgustus. Romantism. Realism,,,,2,15,1,2,14,,15,1,,,,,,,1
S,HV,HVKU,FLKU.05.242,Eesti luule seminar,,,,,5,,,5,,2,3,,,,,,,
S,HV,HVKU,FLKU.05.244,Teatriteaduse alused,1,,,5,12,1,3,14,,4,3,7,2,1,,,,1
S,HV,HVKU,FLKU.05.247,Teatriteksti analüüs,,,,2,8,,3,7,,3,4,2,1,,,,,
S,HV,HVKU,FLKU.05.256,Kirjandusteaduslik magistriseminar II,,,,,6,,,6,,,,,,,,6,,
S,HV,HVKU,HVKU.03.005,Kultuuriturundus,1,1,7,5,9,1,,20,2,,,,,,,22,,1
S,HV,HVKU,HVKU.03.008,Uurimis- ja analüüsimeetodid kultuurikorralduses,,,,2,4,,1,5,,,,,,,,6,,
S,HV,HVKU,HVKU.03.009,Magistriseminar,,,,1,5,,,5,1,,,,,,,6,,
S,HV,HVKU,HVKU.03.013,Allikmaterjalide kogumise ja analüüsi meetodid,,1,,,4,,,5,,,,,,,,5,,
S,HV,HVKU,HVKU.03.014,Kultuuripärand ja kultuuripoliitika,,,,,9,,2,7,,,,,,,,9,,
S,HV,HVKU,HVKU.03.017,Kultuuriteooriad ja ühiskond,,,1,5,18,,3,21,,5,9,4,2,1,,,,3
S,HV,HVKU,HVKU.03.018,"Kultuurisündmus, publik ja retseptsioon",,,,2,17,,3,16,,,,,,,,16,2,1
S,HV,HVKU,HVKU.04.006,Pärimuse ja kultuuripärandi teoreetilised käsitusviisid,,,,,5,,,5,,,,,,,,5,,
S,HV,HVKU,HVKU.04.008,Magistriseminar III: Lõputöö kirjutamine ja tagasisidestamine,,,,1,4,,,5,,,,,,,,5,,
S,HV,HVKU,HVKU.04.012,Internetifolkloor,,,1,2,6,,,8,1,,,,,,,9,,
S,HV,HVKU,HVKU.05.013,Dramaturgia praktikum,,,,1,7,,,8,,,,,,,,8,,
S,HV,HVKU,HVKU.05.015,Kirjanduse didaktika,,,,1,12,,3,10,,10,3,,,,,,,
S,HV,HVKU,HVKU.10.003,Aasia ja Lähis-Ida tsivilisatsioonid,,,,2,11,,3,10,,9,4,,,,,,,
S,HV,HVKU,HVKU.10.004,Aasia ja Lähis-Ida ühiskondade mõtteviisid,,,,1,6,,1,5,1,,,,,,,7,,
S,HV,HVLC,FLGR.01.010,Inglise keele ajalugu,,1,1,4,3,1,,7,1,3,1,2,1,1,,,,1
S,HV,HVLC,FLGR.01.011,Inglise keele ajalugu II,,1,4,1,4,1,,8,1,3,4,3,,,,,,
S,HV,HVLC,FLGR.01.034,Tekstianalüüs 1,,,,8,8,,1,14,1,2,4,8,2,,,,,
S,HV,HVLC,FLGR.01.039,Tekstianalüüs 3,,,1,5,8,,2,12,,2,8,2,1,,,,,
S,HV,HVLC,FLGR.01.042,Inglise keele praktiline grammatika I,,,,2,16,,1,17,,7,5,5,1,,,,,
S,HV,HVLC,FLGR.01.085,Ameerika inglise keele släng,,,1,8,15,,,22,2,11,13,,,,,,,
S,HV,HVLC,FLGR.01.088,Keeleõppe teooriad ja meetodid,,,,2,8,,1,9,,3,3,3,,,1,,,
S,HV,HVLC,FLGR.01.137,Inglise leksikoloogia,,2,2,4,3,1,,10,,1,4,4,2,,,,,
S,HV,HVLC,FLGR.01.138,Inglise keelt kõnelevate maade ajalugu,,2,1,12,21,,17,18,1,7,4,9,6,2,7,,,1
S,HV,HVLC,FLGR.01.157,Inglise keele praktiline foneetika,,1,,6,6,,5,8,,1,3,7,1,,,,,1
S,HV,HVLC,FLGR.01.162,Inglise kirjandus barokist romantismini,,2,1,11,10,,13,11,,4,2,6,5,4,1,,,2
S,HV,HVLC,FLGR.01.164,Kirjalik tõlge inglise keelde: praktika,,,1,4,18,,1,22,,14,7,2,,,,,,
S,HV,HVLC,FLGR.01.180,Inglise keele variandid,,,1,,8,,3,6,,5,1,,2,,,,,
S,HV,HVLC,FLGR.01.187,Inglise kirjanduse seminar,,,,5,12,,,17,,14,2,1,,,,,,
S,HV,HVLC,FLGR.01.193,Ameerika kirjandus,,,,5,23,,2,26,,10,8,6,2,1,,,,1
S,HV,HVLC,FLGR.01.194,Ameerika kirjanduse ja kultuuri teemaseminar,,,,3,15,,,15,3,9,7,2,,,,,,
S,HV,HVLC,FLGR.01.197,Võõrkeeleoskuse hindamise põhimõtted ja praktikad,,,2,2,4,,2,6,,1,3,4,,,,,,
S,HV,HVLC,FLGR.01.206,Kanada ingliskeelne multikultuuriline kirjandus,1,1,,4,15,,4,17,,10,5,2,1,,,,,3
S,HV,HVLC,FLGR.01.208,Inglise keel kõrvalainena I,,,,2,9,,,9,2,3,,,,,,5,,
S,HV,HVLC,FLGR.01.377,Anglistika võtmetekstide seminar,,,,1,4,,,5,,5,,,,,,,,
S,HV,HVLC,FLGR.01.379,Akadeemiline väljendusoskus inglise keeles I,,1,,1,3,,1,4,,1,1,2,,,,,,
S,HV,HVLC,FLGR.01.381,Inglise keele didaktika II,,,1,2,13,1,2,13,,7,8,1,,,,,,
S,HV,HVLC,FLGR.02.133,Proseminar antiikkultuurist: sissejuhatus erialasse,,,,1,7,,,8,,,,,,,,8,,
S,HV,HVLC,FLGR.02.330,Ladina keele põhikursus romanistika erialale,,,,6,11,,4,13,,,,,,,,16,,1
S,HV,HVLC,FLGR.02.377,Kreeka keele põhikursus I,,,,1,7,,4,4,,,,,,,,8,,
S,HV,HVLC,FLGR.02.379,Ladina keele põhikursus I,,,1,,8,,,9,,4,2,2,1,,,,,
S,HV,HVLC,FLGR.02.416,Tekstianalüüs. Ladina proosaautorid,,,,,5,,,5,,2,3,,,,,,,
S,HV,HVLC,FLGR.02.460,Antiigi pärand Euroopa kultuuritraditsioonis,,,2,6,30,,,37,1,30,4,,2,,,,,2
S,HV,HVLC,FLGR.03.149,Prantsuse keele praktikum I,,1,,2,2,,1,4,,2,2,,1,,,,,
S,HV,HVLC,FLGR.03.151,Prantsuse keele praktikum III,1,,,1,5,1,1,5,,,,,,,,5,1,1
S,HV,HVLC,FLGR.03.152,Prantsuse keele teooria I,,,,1,6,,,7,,4,,2,1,,,,,
S,HV,HVLC,FLGR.03.153,Prantsuse keele teooria II,,,,,8,,,7,1,,2,3,1,1,,,,1
